OBS,WP4,WP3,WP2,D8,D9,MARGIN1,MARGIN2,MARGIN3,MARGIN4,MFR1,MFR2,MFR3,MFR4,PRICE1,PRICE2,PRICE3,PRICE4,PROMO11,PROMO12,PROMO13,PROMO14,PROMO21,PROMO22,PROMO23,PROMO24,RET,S10,S11,S12,S13,S2,S3,S4,S5,S6,S7,S8,S9,VOL1,VOL2,VOL3,VOL4,WEEK,WP1,D7,D6,D5,D4,D3,D2,D10,D1,CSALES
5/17/1990,0.256027868,0.172212483,0.35123739,0,0,0.305224834,0.234581498,0.444365384,0.272651384,46128.33282,114482.5959,34250.72086,162209.4256,0.391140812,0.458882806,0.309938363,0.352001588,0,0.139,0,0.106,0,0,0,0,143547.9486,0,0,0,0,0,0,0,1,0,0,0,0,169742.4,325940.8,198886.4,633561.6,36,0.271754923,1,0,0,0,0,0,0,0,1328131.2
5/24/1990,0.248928288,0.146076227,0.351363741,0,0,0.204084158,0.27226744,0.32660865,0.273168278,87755.53221,70676.95706,44799.82592,59145.3612,0.354835649,0.482819871,0.2169262,0.342484072,0.191,0.142,0.247,0.135,0,0,0,0.035,92901.91258,0,0,0,0,0,0,0,0,1,0,0,0,310727.8,201150.4,306688,237600,37,0.282419314,1,0,0,0,0,0,0,0,1056166.2
5/31/1990,0.248090616,0.1585761,0.306478591,0,0,0.297154408,0.201648023,0.319893639,0.23613415,30534.88231,137821.9514,22709.11238,79548.96583,0.373682722,0.383889062,0.233163677,0.324782965,0.061,0.273,0.47,0.217,0,0,0,0,82993.30828,0,0,0,0,0,0,0,0,1,0,0,0,116260.8,449695.2,143206.4,320644.8,38,0.262641254,0,0,0,0,0,0,0,0,1029807.2
6/07/1990,0.234349762,0.210259313,0.274231948,0,0,0.299244665,0.230893605,0.105098625,0.315305501,29725.18679,97780.14351,113269.5513,61870.77449,0.376046352,0.356559184,0.234952497,0.342269089,0,0.281,0.241,0.071,0,0,0.241,0,83842.57175,0,0,0,0,0,0,0,0,1,0,0,0,112802,356560,538713.6,264010.4,39,0.263516487,0,0,0,0,0,0,0,0,1272086
6/14/1990,0.24869084,0.192121112,0.25071343,0,0,0.300855364,0.173908527,0.172162707,0.255288076,27845.22627,176506.8679,30502.06986,74308.62415,0.370040768,0.303493545,0.232075932,0.333942337,0,0.274,0.241,0.246,0,0.068,0,0,80957.00607,0,0,0,0,0,0,0,0,1,0,0,0,107630.2,704018.4,158764.8,298799.2,40,0.258712018,0,0,0,0,0,0,0,0,1269212.6
6/21/1990,0.24385829,0.187436092,0.307022354,1,0,0.101933579,0.316227598,0.342081569,0.278456592,130302.1093,67381.33637,19039.90812,60637.4123,0.292473277,0.449012497,0.284892599,0.337967595,0,0.07,0,0.25,0.508,0,0,0,79252.68869,0,0,0,0,0,0,0,0,0,1,0,0,496085.8,219467.2,101580.8,248658.4,41,0.26266043,0,0,0,0,0,0,0,0,1065792.2
6/28/1990,0.242480257,0.192245351,0.238646212,1,0,0.327614878,0.221356856,0.318925855,0.290537594,30757.23712,201097.2348,20953.2053,61083.10455,0.368254607,0.306489839,0.282267874,0.341780276,0,0.142,0.247,0.036,0,0.142,0,0,106981.6106,0,0,0,0,0,0,0,0,0,1,0,0,124217,842658.4,108992,251909.6,42,0.247608919,0,0,0,0,0,0,0,0,1327777
7/05/1990,0.255618451,0.187717037,0.297831269,0,0,0.33176599,0.300931847,0.345648184,0.165214379,30652.28333,66311.53636,20942.61364,118350.3205,0.361781632,0.426040391,0.286874785,0.306208498,0,0.071,0.244,0.036,0,0,0,0.072,78249.30758,0,0,0,0,0,0,0,0,0,1,0,0,126790.8,222648,111564.8,462996,43,0.241754791,0,0,0,0,0,0,0,0,923999.6
7/12/1990,0.251149673,0.185583716,0.324800899,0,0,0.322311207,0.287105351,0.354618553,0.30210071,87263.77879,57311.50833,15843.20758,47535.4,0.351352081,0.455608552,0.287556633,0.359865208,0.191,0,0,0.036,0,0,0,0,93866.23864,0,0,0,0,0,0,0,0,0,1,0,0,366489.2,176451.2,85369.6,189271.2,44,0.238107368,0,0,0,0,0,0,0,0,817581.2
7/19/1990,0.233257126,0.188787657,0.264950249,0,0,0.309098002,0.268974999,0.333212196,0.343794223,32399.90833,122359.7477,17666.9,53132.61439,0.347291771,0.362436645,0.28313004,0.355463384,0.254,0.07,0,0.105,0,0,0,0.036,96181.96212,0,0,0,0,0,0,0,0,0,0,1,0,135030.8,461821.6,93580.8,227785.6,45,0.239944578,0,0,0,0,0,0,0,0,918218.8
7/26/1990,0.249299619,0.144400078,0.320060516,0,0,0.33420582,0.27249678,0.323303201,0.211134726,39077.52477,68996.5976,30643.31381,116168.6366,0.36864932,0.439943779,0.213389627,0.316023062,0.254,0.14,0.244,0.215,0,0,0,0,91191.38739,0,0,0,0,0,0,0,0,0,0,1,0,159211.2,215573.6,212211.2,465980,46,0.245444572,0,0,0,0,0,0,0,0,1052976
